video_id,comment_text,author,like_count,publish_date,reply_count
Zpn0z_jkjvk,Why no one commented on this short..? It’s just fantastic 🎉ad I’ve ever seen ❤,@arifshaik88,1,2025-08-19T10:31:24Z,0
Zpn0z_jkjvk,🫡,@charlesdarwin430,0,2025-08-20T00:11:14Z,0
BUrwsXLgfOs,1:02 goosebumps started 😯❤,@Himanshu-l8s4t,2,2025-08-19T03:13:18Z,0
BUrwsXLgfOs,King Khan! 🇮🇳,@cenaroy54,31,2025-07-15T08:16:57Z,0
BUrwsXLgfOs,First time clicked on a video link of an advertising email and discovered that it was a right choice🥰✨️,@manishkumarshukla4389,88,2025-07-15T17:35:18Z,1
BUrwsXLgfOs,Who came here from zomato notification,@saifakram1447,686,2025-07-15T08:26:27Z,42
BUrwsXLgfOs,Godfather of Indian cinema SRK👑,@UnknownIndian312,50,2025-07-15T09:19:43Z,4
BUrwsXLgfOs,Shahrukhkhan my inspiration idol love from France🇫🇷,@RakibulIslam-o4b,71,2025-07-16T06:04:29Z,2
BUrwsXLgfOs,Srk and Arr ❤,@melophiletkay,23,2025-07-16T12:26:47Z,1
BUrwsXLgfOs,Biggest icon ❤ SRK,@MizanurrohomanNazim,26,2025-07-15T09:38:47Z,0
BUrwsXLgfOs,Who came here seeing Name of KiNG SRK ❣️,@ScreenAdventurers,26,2025-07-15T11:53:06Z,0
BUrwsXLgfOs,Ar Rahman 🔥,@eieou,29,2025-07-15T14:55:33Z,1
BUrwsXLgfOs,OMG bringing AR Rahman ❤ Srk ❤,@sanabaigwarsi-uk1bo,71,2025-07-15T14:34:04Z,1
BUrwsXLgfOs,SRK KING MINDSET ✨,@iamPrinceK,7,2025-07-17T16:37:49Z,0
BUrwsXLgfOs,king of Indian cinema...... Love you ling khan......,@rahulrajpurohit8489,6,2025-07-19T04:41:25Z,0
BUrwsXLgfOs,Who came here after Zomato notification 😅😅,@Mrswagster18,89,2025-07-17T08:11:12Z,7
BUrwsXLgfOs,Shah ❤,@yuktabhowmick4039,4,2025-07-16T16:50:48Z,0
BUrwsXLgfOs,For KING,@skariyan3140,5,2025-07-20T17:17:53Z,0
BUrwsXLgfOs,Shahrukh made me watch the whole video ❤😊,@NayneshRajaki_belongs_to_u,31,2025-07-15T11:09:19Z,1
BUrwsXLgfOs,King ❤,@AkashRajpoot-v7e,4,2025-07-24T15:29:04Z,0
BUrwsXLgfOs,"😂 I saw this ad on tv and I ran to watch the ad again just because of shahrukh ❤. Srk , ar rahman, mary com , bumrah all legends",@Gitanhali,6,2025-07-16T09:11:59Z,2
BUrwsXLgfOs,Sharuk khan.. I love sharuk khan😊😊😊❤❤❤,@fizakhan7610,6,2025-07-17T08:37:58Z,0
jnDRVV6hhxw,"It's great that you guys are having such events. 

A capitalist company making a social and environmental difference is nice :)",@jeeteshagrawal6391,0,2025-06-16T14:40:48Z,0
jnDRVV6hhxw,"प्लास्टिक फ्री तो कर रहे आप लोग कई थैले फट जाता है पिक के समय पर 
राइडर काफी मेहनत करते हैं और उन्हें कम पैसे मिलते है, कोई न कोई बहाने से आप Zomato वाले राइडर के पैसे काटने का बहाना ढूंढते हैं VERY Bad Service Swiggy Is Best आज से मैने Swiggy Join किया है अच्छा लगा ZOMATO Account Delete Kar दिया है, कस्टमर केयर सपोर्ट बकवास है 👎🙏",@ftsiddharthchaudhary,0,2025-06-27T19:11:31Z,0
6kfrNWBPKdU,Zomato had an emotional ad for every father.,@TheSocialDrone,1,2025-06-15T10:45:36Z,0
6kfrNWBPKdU,An absolute pleasure to have sung for this adorable ad 🥹♥️,@arish_b,22,2025-06-13T18:14:02Z,3
6kfrNWBPKdU,"You know what... This is one of the best things I've come across.. especially being a marketer myself.... 
This video, song, perfect!!",@edvinjohn3425,0,2025-06-16T21:26:45Z,0
6kfrNWBPKdU,"Bestttt ad ❤ 
Good way of writing and execution.",@CCArts,0,2025-06-16T19:09:53Z,0
6kfrNWBPKdU,So relatable- thanks floor this lovey Ad ❤,@harsharao1707,0,2025-06-15T08:37:21Z,0
6kfrNWBPKdU,Really beautiful and heartwarming ad,@MayankSaurabh-e6p,0,2025-06-18T10:23:01Z,0
6kfrNWBPKdU,"Absolutely beautiful but definitely not installing ZOMATO app!
Not affordable for a common man!
So better cycle my way to restaurant ❤",@lazytalltraveller,0,2025-08-13T02:47:20Z,0
6kfrNWBPKdU,Such a beautiful insight,@mehakdhingra8901,0,2025-06-15T10:40:27Z,0
6kfrNWBPKdU,Best advertisement 💖,@neelmadhavparikh731,0,2025-06-15T06:41:36Z,0
6kfrNWBPKdU,Brilliant,@AkashSahuWorks,1,2025-06-13T13:45:43Z,0
6kfrNWBPKdU,Happy father's day 💐❤️💐❤,@rajuanbazhagan1988,1,2025-06-13T12:11:49Z,0
6kfrNWBPKdU,❤❤❤,@samiryadavji6602,1,2025-06-13T17:12:51Z,0
6kfrNWBPKdU,That's a good one.,@alensebastian4677,0,2025-06-16T12:03:20Z,0
6kfrNWBPKdU,❤❤,@girdharsaini552,0,2025-08-01T11:30:50Z,0
6kfrNWBPKdU,❤❤❤❤❤,@surupadas4606,1,2025-06-13T15:08:32Z,0
6kfrNWBPKdU,First,@user-hq3um1yf4h,0,2025-06-13T12:10:01Z,0
wE_MHbqx8mI,"Would love to see short individual videos on the project ideas, so people know more about it!",@half-soul8393,1,2025-05-25T16:23:17Z,0
wE_MHbqx8mI,Recent prices of zomato food orders having comparatively hiked. Unnecessary so called Platform Fee and Delivery Charges increases the burden on customers plus GST is an added cost. Now looks like it's better to have home cooked food rather to order. I recently order a pizza from la pinnoz app which costed half of the price from zomato. #zomato #inflation,@Vinayak608,0,2025-05-25T14:37:08Z,0
wE_MHbqx8mI,"Nowadays rarely ordering food from zomato and Swiggy as cost of food is very high as these platforms charges high commission from restaurants and restaurants pass this extra cost to consumers. Plus considering the hygiene and the type of adulterated food items, reused oil,  fake panner , ghee it's better to have home cooked food.",@lifeisbeautiful104,0,2025-05-24T16:34:16Z,0
wE_MHbqx8mI,Aur ek baat sir mere jitne bhi dost hai zomato me unhone dhusre app me bhi kaam kiya hai lekin maine aaj tak zomato ke alawa kisi bhi app me kaam nahi kiya hai,@Mr.KickManOfficial,1,2025-05-23T05:37:13Z,1
wE_MHbqx8mI,Everything is ok. But now a days in our airport area Zomato is very less rain surge. Show my opinion is why you give me answer to the rider there is no need to give rain surge to riders,@ShubhajitGhosh-n8i,0,2025-05-28T06:29:31Z,0
wE_MHbqx8mI,My order failed but money deducted from my account but still not receive any refund from my account,@indranilsen_23,0,2025-06-02T13:27:52Z,0
wE_MHbqx8mI,Aap plastic free to kar rahe ho lekin aap ye nahi pata ki plastic me hi khana safe hota hai hum dilevery boy hai hume pata hai aap khud faisla na le zomato rider se puche kya sahi hai muje 3 saal ho gaye zomato me,@Mr.KickManOfficial,1,2025-05-23T05:31:48Z,1
wE_MHbqx8mI,"Hahaha... green planet my foot! Heights of hypocrisy zomato!
Sitting inside huge ACs and most of your speakers must have travelled in first class(or business class) where 2 to 3 people could've easily accommodated to attend this. And the quantity of paper/energy you must have used to conduct this.... bhai zomato - thodi sharam hai ya sirf fuddu banana ata hai logon ka?",@chanpreets10,2,2025-05-23T08:07:15Z,5
g8saXslYNAk,The chaii can be a mental therapy when you are having a conversation with your trusted and  closest,@YashAgrawal-p4t,1,2025-05-16T06:29:13Z,0
g8saXslYNAk,"This is going to be liked by every middle class person in India who relates to these struggles and yet wakes up every day to fight the same battle again, with that same, undeafeated spirit.",@ritik7868,0,2025-05-19T05:38:44Z,0
g8saXslYNAk,Okay! Now this social media marketing made me ur subscriber ❤,@Ridd6666,0,2025-05-16T10:47:58Z,0
td6eNfiqopk,Whoever made this video deserves an award!,@sanidhyasaroj9928,2,2025-04-22T17:59:47Z,1
td6eNfiqopk,bhut bakwas h costumer cash on delivery rkhte h or order chin lete h delivery boy k paise ktte h bnd kro ise,@SapnaKitty,0,2025-05-01T18:06:32Z,0
2Uf_nAiYKm4,these ads are soooo fun. I can already see that these are gonna be like the mentos ads for the new generation!!,@TarunXD,0,2025-03-20T11:24:06Z,0
2Uf_nAiYKm4,Please listen to piyush goyal speech and focus on innovation ❤❤,@rhythmkanojia,1,2025-04-05T16:09:40Z,0
2Uf_nAiYKm4,Zomato x Swiggy collab video,@VADApavOG,1,2025-04-14T12:32:11Z,0
2Uf_nAiYKm4,Hi please can any one give me update about ZPL ZOMATO PREMIER LEAGUE,@imranali-xc5hi,0,2025-03-22T06:30:55Z,0
2Uf_nAiYKm4,"I can advertise zomato 
 Sponsor me ❤",@nominipocket9848,0,2025-04-15T07:40:06Z,0
2Uf_nAiYKm4,The worst food delivery app,@kiranvarma2097,0,2025-03-21T22:14:18Z,0
2Uf_nAiYKm4,bakwas h,@SapnaKitty,0,2025-05-01T18:07:17Z,0
5_sDVrDiG4w,First one to comment ❤,@Sandeep_singh8073,1,2025-03-20T06:49:11Z,0
5_sDVrDiG4w,DO YOU HATE SWIGGY,@ShinChan777x,0,2025-03-20T15:46:45Z,1
jBO_n1CRSVw,Bring back zpl,@b2kumarkr,0,2025-03-26T16:11:32Z,0
jBO_n1CRSVw,First,@DaSilvaSantos_10,1,2025-03-20T07:34:12Z,0
uHGYUbaFUUI,The girl is very cute,@petermarkwood9077,1,2025-04-20T08:06:27Z,1
YuNIvY8HMm0,Great initiative by Zomato,@reptile6059,0,2025-03-08T09:17:32Z,0
YuNIvY8HMm0,A good way for empowerment. Good job zomato,@percypotter5050,0,2025-03-08T07:14:16Z,0
YuNIvY8HMm0,Well-done Team Zomato. Happy Women's Day.,@navitagupta4521,0,2025-03-08T11:39:15Z,0
YuNIvY8HMm0,Women Day Happy to Deepinder Goyal ❤❤,@AquaciousDoesYT,0,2025-03-08T07:13:53Z,0
YuNIvY8HMm0,Happy Women's Day,@RupomoyDas-h7s,0,2025-03-08T07:12:32Z,0
YuNIvY8HMm0,Deepinder Goyal Sent me here....Also im the 1337th Comment,@AquaciousDoesYT,1,2025-03-08T07:13:15Z,0
YuNIvY8HMm0,Hamara paise kat किया 😡😡 चोरो पैसे  vapas do,@punebreakingnews0221,0,2025-03-13T16:01:37Z,0
YuNIvY8HMm0,Zomato apne sare delivery partner ko bolo change rakhne sare Jan Bhuj ke bolte Hai change nhi hai online kardo unka faida hai isi ke Wajah se Kal ek zomtao wala aaya tha meri area mai uske customer ke sath uski kitni ladai hui Jan Bhuj ke change na Dene ke liya,@buntygiri-bm1lv,0,2025-03-17T17:20:56Z,2
YuNIvY8HMm0,Zomto me   kam karke  0 arning,@pritamjitsharma9970,0,2025-05-13T03:51:14Z,0
frShIfIXAco,"For anyone who really wants to know, it's due to the Deccan Plateau. There are volcanic rocks surrounding the plateau to prevent extreme weather swings. Also the altitude, lakes and parks provide better ventilation. Unfortunately, Bengaluru has lost 68% of tree cover and most lakes in the past 40 years due to urbanization!",@double_courage57,11,2025-03-06T14:20:10Z,0
frShIfIXAco,Give that script writer an award.... really cool add and connects with everyone ❤,@artist-wx5my,129,2025-02-11T15:25:22Z,4
frShIfIXAco,Does this mean Zomato does not deliver on time to weather gods in Delhi or Mumbai as the weather is pathetic in summers?,@keshavbagri4217,216,2025-02-11T15:56:18Z,12
frShIfIXAco,Watching Dino Morea after a long time and he still hold the magic,@Awakenbeing,4,2025-02-27T11:06:26Z,0
frShIfIXAco,The song used is also so nice... Need a full version of it!,@subho9000,4,2025-02-14T19:04:37Z,0
frShIfIXAco,"ಬೆಂಗಳೂರು ಜೈ ಕರ್ನಾಟಕ
❤
AWESOME AD",@janamedia8171,31,2025-02-11T16:07:49Z,0
frShIfIXAco,Screen pe Dino Morea ho toh ad bhi blockbuster lagta hai 💖🔥,@Riyagupta-iw3bh,7,2025-02-11T10:06:04Z,0
frShIfIXAco,its true. I love Banglore weather. Best in contry. but traffic problem he,@Kps123-j6t,3,2025-02-17T08:02:16Z,0
frShIfIXAco,"I hope there are 'Traffic gods', 'Construction gods' and 'Pollution Gods' too who will keep the city free of traffic, on-time construction and free of pollution.",@SanAntonioDean,4,2025-02-14T18:51:06Z,0
frShIfIXAco,"But the fact is BLR is getting so hot, that the residents are being forced to buy the AC",@SheershaBanerjee-r1y,5,2025-02-22T15:03:53Z,1
frShIfIXAco,Superrrr....ad ❤ just love it . Weather should turn super too now 🙏🙏🙏,@ektadaniel4853,2,2025-02-14T08:21:42Z,0
frShIfIXAco,I started getting food parcel myself as zomato never delivers on time ....,@sudheersatya1164,2,2025-04-17T15:04:02Z,0
frShIfIXAco,"ಕಡಕು!!
ನಮ್ಮ ಬೆಂಗಳೂರು!! 💛❤",@Advaith..,8,2025-02-12T19:33:20Z,0
frShIfIXAco,"Brilliant ad concept, kudos to the team and also people who spent money on this ad
Namma Bengaluru ❤",@ujwal81,9,2025-02-16T12:57:34Z,0
frShIfIXAco,Jai Karnataka ! Namma Ooru Bengalooru ❤,@preethamd6423,13,2025-02-14T02:45:37Z,0
frShIfIXAco,Baat to sahi hai !,@issacdhan,3,2025-03-10T07:15:58Z,0
frShIfIXAco,Namma Bengaluru ❤,@Pav-i4m,1,2025-02-17T03:49:12Z,0
frShIfIXAco,nice ad ,@JubinRajuMathew,1,2025-02-14T09:17:25Z,0
frShIfIXAco,ನಮ್ಮ ಬೆಂಗಳೂರ Weather  ಸಕತ್ತಾಗಿದೆ,@AnSfee,1,2025-02-16T21:10:44Z,0
frShIfIXAco,This crew deserves an Oscar,@Monpsyk8116,1,2025-02-17T05:01:21Z,0
O_E4XVIc_Us,Zomato guy was forced to remove his costume now zomato will wear Bhagwa 😂😂,@sayyadabbas8687,4,2024-12-27T07:53:25Z,0
O_E4XVIc_Us,Is that drew hicks?,@aayushsagar6898,6,2024-12-31T05:04:05Z,0
O_E4XVIc_Us,Any discounts due to Christmas?,@Sujalx106,4,2024-12-24T15:23:21Z,0
O_E4XVIc_Us,So funny ad. the ad creator are so creative😂,@OPGAMER.1127,1,2024-12-24T15:42:58Z,0
O_E4XVIc_Us,We do not cost but they cost,@jurikalita4290,1,2024-12-24T15:50:15Z,0
O_E4XVIc_Us,"Eternal.


Start or Acquire new Business in field of AI Robotics",@VishalPadvi-m3i,0,2025-04-15T09:36:48Z,0
O_E4XVIc_Us,"MNS in Maharashtra Mumbai Taking Action on Zepto Dark Stores Be careful.

Zomato Be careful About Dark Store Cleanliness",@VishalPadvi-m3i,0,2025-04-12T07:59:36Z,0
O_E4XVIc_Us,"Good to read About Blinkit & Airtel Sim Tie up 

But Jio Is major Player so please focus on jio also if Zepto will go for Jio then it will be disastrous for Blinkit 

please focus on 

Jio SIm Card Also",@VishalPadvi-m3i,0,2025-04-16T08:35:27Z,0
O_E4XVIc_Us,"Zomato 

Start Something new Either Invest in AI ( Artificial intelligence) ,  Robotic or Drone Business For consistent Growth.",@VishalPadvi-m3i,0,2025-01-30T18:46:16Z,0
O_E4XVIc_Us,"Bring New AI for Zomato App Which Will Write & Talk to Costomer Regarding there  Choice related to food and Other delivery ( Like Which Dish Order Most , Which is Most Costomer Friendly Restaurant and Other Questions related to Consumer) 

Can be Only feed AI for Good Business Growth.

Zomato investor",@VishalPadvi-m3i,0,2025-04-08T04:03:36Z,0
O_E4XVIc_Us,"Zomato 

Plan something for Maha Khumb Mela Bussiness.

It's good Bussiness opportunity",@VishalPadvi-m3i,0,2025-01-14T17:26:10Z,0
O_E4XVIc_Us,Trojan horse virus,@Voidableble,0,2025-01-26T01:32:45Z,0
O_E4XVIc_Us,who came because of bog,@The-Eagles-Europe-America,0,2025-04-02T16:43:10Z,0
O_E4XVIc_Us,Abp ganga joshua project pr baat karo plz sickular abp ganga,@Raniraniranirani2,0,2024-12-25T12:46:16Z,0
O_E4XVIc_Us,"Hii 
Zomato ,
I am a thumbnail designer if you wants to make any type of thumbnails or posts you can order me 
Imy charges are less than others",@Mineblaster-sk,0,2025-02-05T19:27:03Z,0
O_E4XVIc_Us,Nice try diddy,@gamerawesome4409,0,2024-12-25T19:46:07Z,0
O_E4XVIc_Us,Whaaa,@06.akshatchandra54,0,2024-12-24T10:05:40Z,0
O_E4XVIc_Us,❤️,@bobyyadav2953,0,2025-07-12T10:30:02Z,0
O_E4XVIc_Us,Swiggy zindabad,@AryanShetty-r8r,1,2024-12-24T11:54:14Z,0
O_E4XVIc_Us,❤️,@Shakeelmotiwalavlogs-g8e,0,2025-07-24T19:58:24Z,0
Cq5IK0RQI10,This reminds me of that one uncle who does WhatsApp forwards saying “this is how India looks during Diwali from the satellite” 😂,@deepikabala6063,70,2024-10-25T09:36:47Z,0
Cq5IK0RQI10,This ad screams 'Kuch BHI' – a perfect representation of your service.,@vkd443,59,2024-10-24T12:37:52Z,2
Cq5IK0RQI10,All credits goes to this film's Director Devika Chaturvedi. U did a Superb job. Congratulations.,@muthulingamk8490,9,2024-10-25T16:33:49Z,1
Cq5IK0RQI10,and that's called an Indian ad. good work zomato and the team😍,@karthiik,15,2024-10-25T09:08:25Z,0
Cq5IK0RQI10,Acha to platform fee yhaa use hori hai hmari...!!!!,@extratune3887,57,2024-10-24T12:34:45Z,1
Cq5IK0RQI10,Epic advertisement Bro 👊 love it,@Aalsitravellervlog,5,2024-10-26T00:30:08Z,0
Cq5IK0RQI10,"""Satya NASA"" is comedy gold.",@erwickdsouza,10,2024-10-25T06:55:07Z,0
Cq5IK0RQI10,"Finally, an official parody of 'Photo taken by NASA on Diwali night' meme/fake message! 🤪😝😜",@BnRFilmsOfficial,5,2024-10-25T09:31:44Z,0
Cq5IK0RQI10,Why NASA and not ISRO!?,@akashmurarka3344,12,2024-10-25T09:10:24Z,7
Cq5IK0RQI10,"Nice video, Indians are different",@kingkings9160,4,2024-10-25T08:55:53Z,0
Cq5IK0RQI10,"Ya company end time PA order  mahi dati inka customer service no call mahi uttha Hamna 8pm per order keya tha  
but 11pm tak Koi response mahi Uska bad company na order cansle Kar diya",@RajniSharma-fw1gl,1,2025-02-07T17:20:37Z,1
Cq5IK0RQI10,Creativity at its peak 😅😅,@dileepedits1515,1,2024-10-26T15:50:01Z,0
Cq5IK0RQI10,"Banger!
Please share the agency and prod co credits",@fixitonpost,2,2024-10-24T10:56:09Z,0
Cq5IK0RQI10,Yo ! Reduce your platform fees,@creatorg6498,74,2024-10-24T17:12:03Z,1
Cq5IK0RQI10,I m a rider and pride of my company,@Surajpharmacist,2,2024-10-25T09:49:25Z,0
Cq5IK0RQI10,"Is baar diwaali pe apne local gareeb vendor se saman khareedo, aur Happy diwaali bolkar unhe galle lagaao . SHUBH DEEPAWALI",@MrSukhrajgill,2,2024-10-29T11:16:54Z,0
Cq5IK0RQI10,"I will not take electricity meter for my farm house, Brightness i will order it from  zomato",@sameerbhaidani,3,2024-10-25T09:07:31Z,0
Cq5IK0RQI10,Ye first ad hai jisse dekh ke mai hasi hun... Liked theAd,@shalini86,1,2024-10-25T10:11:32Z,0
Cq5IK0RQI10,"Goooddddd Unbelievable, Who came up with this should get 10x salary",@Movie_clips960,1,2024-11-02T06:54:24Z,0
Cq5IK0RQI10,"Sir... We are always in positive, Sir.😅",@UthamiNair,1,2024-11-03T11:58:10Z,0
vLMmpcZFZw8,If u invite samay raina again them i buy 10000 share of zomato only for u paisa hi paisa 🤞,@UNBREAKABLE420,6,2024-10-19T16:49:45Z,0
vLMmpcZFZw8,Definitely Fantabulous. You are wonderful,@itsMohak,0,2024-12-29T11:34:22Z,0
vLMmpcZFZw8,"we want old manager and samai raina video
bcause bhai abhi trending me hai...",@Sourav_yadav_09,3,2024-10-21T17:41:53Z,0
vLMmpcZFZw8,Please Upload Samy Raina's Video,@ShaktimanJi,5,2024-10-14T20:46:09Z,0
vLMmpcZFZw8,samay raina 10 million video,@LakshyaZoro,3,2024-10-15T05:26:58Z,0
vLMmpcZFZw8,I tried to book movie ticket from district app by zomato. My payment has debited but tickets did not booked .it shows refund progressing since 24 hours . But my payment has not refunded.  Please fix the problem . Your have to work on your app service,@DaggerB3,1,2024-12-06T12:02:47Z,0
vLMmpcZFZw8,New video with samay Raina ❤,@DEARALCOHOL-x4u,1,2024-11-01T11:47:10Z,0
vLMmpcZFZw8,What the point of working even gig not available to book,@kbk8127,0,2024-10-22T01:31:09Z,0
vLMmpcZFZw8,Meat by basket (zomato (,@pixe934,0,2025-02-18T06:04:06Z,0
vLMmpcZFZw8,Secret of so many frustrated customers?,@voxya-consumer-forum,0,2025-02-22T15:01:37Z,0
vLMmpcZFZw8,Dosto Zomato se order karna band kardo abhi ye log pahile jaisa service nahi dete abhi fraud hogaya hai Zomato because resturant ya delivery Partner late ho aur hume order cancel karna ho toh customers ko order cancellation 100% charge kar rahe hai mai regular customer hu hafte mein 2 3 baar toh food order karta he hu zomato pe but inhone ne extra charges high kardiye hai aur raat me customer support bhi nahi hota bas auto generated questions hote hai aur uske answers bhi wahi choose karne dete hai jisme hamare problem ka solution nahi.,@rohittevar1379,0,2024-11-25T21:34:15Z,0
vLMmpcZFZw8,👋 hey zomato Thanjavur zone Increase Daily incentive  Please help your delivery partner......❤,@gear__up_used_bike,1,2024-10-15T21:34:16Z,0
vLMmpcZFZw8,Will Zomate Pin this Comment For No Reason 🗿?,@TheAkPlayz,0,2024-10-21T14:57:49Z,1
vLMmpcZFZw8,@zomato Be a sponsor of India's got latent before swiggy,@souravdey1599,0,2024-10-22T17:23:48Z,0
Zi8Sj_WC-Sc,Sunil Grover has more characters in himself than the entire Film Industry. Such an Underrated Star👑,@IndianSTANDUPs-official,4,2024-10-09T17:55:07Z,1
Zi8Sj_WC-Sc,That last smooch 😂,@StartupEra,3,2024-10-09T14:00:55Z,0
Zi8Sj_WC-Sc,Saale ye rozana ek nyi add banate hai😂😂😂,@sourabh7754,0,2024-10-12T06:53:52Z,0
Zi8Sj_WC-Sc,Meat by basket (zomato),@pixe934,0,2025-02-18T06:04:34Z,0
Zi8Sj_WC-Sc,If you say truth what happened with you they ll remove your comments.😢,@JaiKr-i6m,1,2024-10-12T08:53:08Z,0
Zi8Sj_WC-Sc,I tried to book movie ticket from district app by zomato. My payment has debited but tickets did not booked .it shows refund progressing since 24 hours . But my payment has not refunded.  Please fix the problem . Your have to work on your app service,@DaggerB3,0,2024-12-06T12:03:02Z,0
Zi8Sj_WC-Sc,Socho itne kam comments kyu hai ? Koi baitha customer ki awaaz daba raha hai...,@JaiKr-i6m,0,2024-10-12T08:55:58Z,0
Zi8Sj_WC-Sc,Dosto Zomato se order karna band kardo abhi ye log pahile jaisa service nahi dete abhi fraud hogaya hai Zomato because resturant ya delivery Partner late ho aur hume order cancel karna ho toh customers ko order cancellation 100% charge kar rahe hai mai regular customer hu hafte mein 2 3 baar toh food order karta he hu zomato pe but inhone ne extra charges high kardiye hai aur raat me customer support bhi nahi hota bas auto generated questions hote hai aur uske answers bhi wahi choose karne dete hai jisme hamare problem ka solution nahi.,@rohittevar1379,0,2024-11-25T21:34:30Z,0
Zi8Sj_WC-Sc,Sunil Grover ading zomato for Diwali Party,@sourendubose8769,0,2024-10-22T11:57:40Z,0
Zi8Sj_WC-Sc,"Customer se batamizi karte hai aur agar aap batana chaho to comment hi delete, grover sahab dekh to lo kisko promote kar rahe ho.",@JaiKr-i6m,0,2024-10-12T08:58:09Z,0
Zi8Sj_WC-Sc,Sunil grover sir try to speak in marathi language.,@piyushtekade3915,1,2024-10-09T17:13:44Z,0
Zi8Sj_WC-Sc,You dilavry is the worst dillivry at dessert !! 0 rating,@AmitaBhardwaj31,0,2024-10-12T15:48:53Z,0
jPZyRT3jrcE,Kudos to the team behind this initiative.,@denishagarwal5251,9,2024-10-08T10:16:55Z,0
jPZyRT3jrcE,They are getting cuter day by day 🌝🫶🏼,@suvangiadhikary1106,6,2024-10-09T03:36:14Z,0
