tweet_id,tweet_url,author,text,likes,retweets,hashtags
1.95657E+18,https://x.com/zomato/status/1956574450976968796,@zomato,There’s always a great time waiting at the end of the tough times. Happy Janmashtami everyone ,39,2,
1.95647E+18,https://x.com/Traderghadge/status/1956467415916904718,@Traderghadge,"Heavy rains in Mumbai, waterlogging everywhere. I just saw a Zomato delivery guy walking through it all to deliver food. The dedication is incredible — because of people like him, someone won’t sleep hungry tonight.  Hats off to our delivery heroes!  #MumbaiRains 
@zomato",137,12,['#MumbaiRains']
1.95623E+18,https://x.com/akhileshsharma1/status/1956231069403111695,@akhileshsharma1,"Nice ad 
@zomato
 
@timesofindia
 

Loving it!! 
#IndependenceDay",16000,1520,['#IndependenceDay']
1.95626E+18,https://x.com/zomato/status/1956255819361599717,@zomato,To the relentless spirit of this incredible nation  Happy Independence Day ,478,69,
1.9552E+18,https://x.com/OdiaToka23/status/1955196068892913877,@OdiaToka23,"Price scam by 
@zomato
  ? 
I got the Bill summary of ₹248  where ₹23 was for GST & Resturant packing . 
Same invoice generated for the same order claims ₹236.67 including GST and restaurant package. 
Another invoice attached on the delivery with price ₹225 

@zomatocare
 looting",1,1,
1.95638E+18,https://x.com/simranrambles/status/1956384305850229040,@simranrambles,why would you ever zomato food,221,2,
1.95483E+18,https://x.com/soge_rushikesh/status/1954828680032641331,@soge_rushikesh,"Ye sb mere sath hi kyu hota hai.
#zomato",4,0,['#zomato']
1.95346E+18,https://x.com/Deadlykalesh/status/1953455906630308326,@Deadlykalesh,"Zomato delivery guy met with an accident in Delhi. 
Who's at fault?",8100,1167,
1.95634E+18,https://x.com/iPrash/status/1956344120386932805,@iPrash,"Brilliant ad, 
@zomato",0,0,
1.95442E+18,https://x.com/PressSubodhJain/status/1954424049272017206,@PressSubodhJain,"साल 2008 में Restaurant Discovery & Review_Platform के तौर पर बाजार में आई 
@zomato
 ने बाद में #Food_Delivery शुरू कर दी। 

यानी ना तो कच्चा सामान खरीदना, ना बनाना और ना बेचना, केवल माल सप्लाई के लिए शुल्क लेने का काम है। 

लेकिन अब भ्रष्ट नौकरशाही की मिलीभगत से यह और ऐसी कंपनियां",21,13,['#Food_Delivery']
1.95439E+18,https://x.com/_SanjayGupta/status/1954385756803510752,@_SanjayGupta,"HORRIBLE & DISGUSTING experience ordering from ZOMATO.
Opened adulterated packages and obnoxiously rude delivery partners. That too post 2am.

@zomatocare
 

@zomatocare",4,0,
1.95426E+18,https://x.com/cleanAirBharat/status/1954259210595930296,@cleanAirBharat,"Hosting a party at home ? Putting in effort to welcome guests, put in the same effort when arranging food from outside! Use reusable containers and shun disposables. This way, the party will be enjoyable not just for your guests, but for the environment too! 

 @Swiggy @Zomato",2,0,
1.95531E+18,https://x.com/ravihanda/status/1955309597746708957,@ravihanda,"Fairly disappointed with the order that was delivered. Had cheese poured over the Momo and not inside it. Also, there was no corn in it either. 

More of a restaurant issue to be honest but the way @zomato / @zomatocare handled the issue was poor as well. 

I tried getting to a",10,0,
1.95555E+18,https://x.com/AnikCha95356308/status/1955547845156802905,@AnikCha95356308,"Why is EVERY e-commerce platform in India charging random extra fees?
*Handling Fee
*Payment Handling Fee
*Protect Promise Fee(seriously,what is this?)
Flipkart Amazon Swiggy Zomato all doing it.We’re already paying for the product, delivery,GST — now these hidden charges?",3,0,
1.95452E+18,https://x.com/nandanakalam/status/1954517585753502090,@nandanakalam,"Hack stories 08/08/25
Devaki Nandana
Being the most zeptoish and starbucks woman, I managed to work out of Asia’s largest MVRLA factory with bare network (forget about Zepto/ Zomato). I automated the assembly floor and now onto warehouse automations?",3,0,
